request_id,template,agency,county,records_scope,recipient,delivery_method,destination,postal_address,phone,source_url,status,notes
20260903-KSAG-CH142-001,KORA-01,Office of the Kansas Attorney General,statewide,"Statewide guidance, representation, claims, costs, and complaints under L. 2026, ch. 142",Official Custodian of Records,certified mail,,"120 SW 10th Ave., 2nd Floor, Topeka, KS 66612-1597",(785) 296-2215,https://www.ag.ks.gov/divisions/administration/open-government,final_draft_not_sent,"No dedicated KORA email or request form was published. Call to confirm routing before mailing."
20260903-OLATHE-PD-CH142-001,KORA-04,Olathe Police Department,Johnson,"July 11 Olathe CAD, dispatch, report, communications, video, and retention records",Olathe Police Department Records Division,online portal,https://olatheks-self.govplatform.com/service/Public_Records_Request,"501 E. 56 Hwy., Olathe, KS 66061",913-971-7500,https://www.olatheks.gov/government/police/records,final_draft_not_sent,"Use the city portal and mail a parallel copy to Police Records; do not use fax for video or audio."
20260903-CHEROKEE-SO-CH142-001,KORA-02,Cherokee County Sheriff's Office,Cherokee,"Sheriff and jail operational records, enforcement, detainers, and 287(g)",Administrative Assistant / KORA Officer,mail or hand delivery,,"P.O. Box 479 / 915 East Country Road, Columbus, KS 66725","620-429-3992; jail 620-429-3897",https://www.cherokeecountykssheriff.com/administration,final_draft_not_sent,"No direct records email was published. Confirm receipt by phone."
20260903-CHEROKEE-CLERK-CH142-001,KORA-02,Cherokee County Clerk,Cherokee,"County commission, budget, contracts, insurance, and oversight records","Shelby Robinson, Open Records Coordinator; Rebecca Brassart, Official Custodian",email,"Shelby.Robinson@cherokeecounty-ks.gov; rebecca.brassart@cherokeecounty-ks.gov","110 W. Maple St., Room 131, Columbus, KS 66725",(620) 429-9500 ext. 5,https://cherokeecountyks.gov/main/images/KORA_-_Clerks_Request_Form.pdf,final_draft_not_sent,"Use the county form/certification. Fees are prepaid."
20260903-JOHNSON-SO-CH142-001,KORA-02,Johnson County Sheriff's Office,Johnson,"Sheriff and detention records, enforcement, detainers, 287(g), and related fiscal records",Central Records Division,email,SHR-Recordrequests@jocogov.org,"27747 W. 159th St., New Century, KS 66031",913-715-5460,https://www.jocogov.org/johnson-county-sheriff/public-information/sheriffs-records,final_draft_not_sent,"The Sheriff's Office operates county detention facilities. Published fees may require advance payment."
20260903-SEDGWICK-FIO-CH142-001,KORA-02,Sedgwick County Sheriff's Office and detention facility,Sedgwick,"Sheriff, detention, enforcement, detainer, 287(g), county fiscal, and oversight records","Jennifer Scriven, Records Manager and Freedom of Information Officer",email or online form,kora-fio@sedgwick.gov,"Courthouse Records Center, 525 N. Main, Basement Mezzanine, Wichita, KS 67203-3782","316-660-9846; KORA information 316-660-9840",https://www.sedgwickcounty.org/kora/request-sedgwick-county-government-records/open-records-request/,final_draft_not_sent,"State explicitly that sheriff and detention records are requested. A physical mailing address is required."
20260903-SHAWNEE-SO-CH142-001,KORA-02,Shawnee County Sheriff's Office,Shawnee,"Sheriff enforcement records under section 5",Sheriff's Office Attn: Request for Records,email,SNSORecordsRequests@snco.us,"320 S. Kansas Ave., Suite 200, Topeka, KS 66603",785-251-2200,https://www.shawneesheriff.org/sh/request_for_records.php,final_draft_not_sent,"Use the Sheriff's published request form. The Sheriff does not operate the adult jail."
20260903-SHAWNEE-CLERK-CH142-001,KORA-02,Shawnee County,Shawnee,"Department of Corrections detention records plus county fiscal, insurance, commission, and oversight records",Shawnee County Clerk,county form,https://www.snco.gov/clerk/kora.php,,,https://www.snco.gov/clerk/kora.php,needs_routing_confirmation,"Route detention records to the Department of Corrections through the Clerk unless the Clerk provides a more specific custodian."
20260903-WYANDOTTE-SO-CH142-001,KORA-02,Wyandotte County Sheriff's Office,Wyandotte,"Sheriff and detention operational records, enforcement, detainers, and 287(g)",Open Records Unit,email plus portal mirror,"oru@wycosheriff.org; https://wycokck.nextrequest.com/",,913-573-2865,https://www.wycokck.org/Departments/Sheriffs-Office,final_draft_not_sent,"Mirror the request in NextRequest so the Unified Government tracks it."
20260903-WYANDOTTE-UG-CH142-001,KORA-02,Unified Government of Wyandotte County and Kansas City Kansas,Wyandotte,"County commission, budget, contracts, insurance, and oversight records","Department of Administration, Clerk's Division",online portal,https://wycokck.nextrequest.com/,"701 N. 7th St., Suite 323, Kansas City, KS 66101",311,https://www.wycokck.org/Departments/Clerks-Office/Request-a-Record,final_draft_not_sent,"The portal may request a KORA certification depending on record type."
